,cycle_idx,step_idx,walker_idx,decision,instruction
0,0,0,0,SQUASH,3
1,0,0,1,NOTHING,1
2,0,0,2,NOTHING,2
3,0,0,3,KEEP_MERGE,3
4,0,0,4,NOTHING,4
5,0,0,5,CLONE,"(5, 0)"
6,0,0,6,NOTHING,6
7,0,0,7,NOTHING,7
8,0,1,0,KEEP_MERGE,0
9,0,1,1,NOTHING,1
10,0,1,2,SQUASH,0
11,0,1,3,NOTHING,3
12,0,1,4,NOTHING,4
13,0,1,5,NOTHING,5
14,0,1,6,CLONE,"(6, 2)"
15,0,1,7,NOTHING,7
16,0,2,0,KEEP_MERGE,0
17,0,2,1,SQUASH,0
18,0,2,2,NOTHING,2
19,0,2,3,NOTHING,3
20,0,2,4,NOTHING,4
21,0,2,5,NOTHING,5
22,0,2,6,CLONE,"(6, 1)"
23,0,2,7,NOTHING,7
24,0,3,0,NOTHING,0
25,0,3,1,NOTHING,1
26,0,3,2,CLONE,"(2, 6)"
27,0,3,3,KEEP_MERGE,3
28,0,3,4,NOTHING,4
29,0,3,5,NOTHING,5
30,0,3,6,SQUASH,3
31,0,3,7,NOTHING,7
32,0,4,0,NOTHING,0
33,0,4,1,NOTHING,1
34,0,4,2,CLONE,"(2, 3)"
35,0,4,3,SQUASH,7
36,0,4,4,NOTHING,4
37,0,4,5,NOTHING,5
38,0,4,6,NOTHING,6
39,0,4,7,KEEP_MERGE,7
40,0,5,0,SQUASH,7
41,0,5,1,CLONE,"(1, 0)"
42,0,5,2,NOTHING,2
43,0,5,3,NOTHING,3
44,0,5,4,NOTHING,4
45,0,5,5,NOTHING,5
46,0,5,6,NOTHING,6
47,0,5,7,KEEP_MERGE,7
48,0,6,0,NOTHING,0
49,0,6,1,NOTHING,1
50,0,6,2,KEEP_MERGE,2
51,0,6,3,NOTHING,3
52,0,6,4,SQUASH,2
53,0,6,5,CLONE,"(5, 4)"
54,0,6,6,NOTHING,6
55,0,6,7,NOTHING,7
56,0,7,0,CLONE,"(0, 6)"
57,0,7,1,KEEP_MERGE,1
58,0,7,2,NOTHING,2
59,0,7,3,NOTHING,3
60,0,7,4,NOTHING,4
61,0,7,5,NOTHING,5
62,0,7,6,SQUASH,1
63,0,7,7,NOTHING,7
64,0,8,0,NOTHING,0
65,0,8,1,KEEP_MERGE,1
66,0,8,2,SQUASH,1
67,0,8,3,NOTHING,3
68,0,8,4,NOTHING,4
69,0,8,5,NOTHING,5
70,0,8,6,NOTHING,6
71,0,8,7,CLONE,"(7, 2)"
72,0,9,0,NOTHING,0
73,0,9,1,NOTHING,1
74,0,9,2,SQUASH,6
75,0,9,3,NOTHING,3
76,0,9,4,CLONE,"(4, 2)"
77,0,9,5,NOTHING,5
78,0,9,6,KEEP_MERGE,6
79,0,9,7,NOTHING,7
80,1,0,0,NOTHING,0
81,1,0,1,CLONE,"(1, 7)"
82,1,0,2,NOTHING,2
83,1,0,3,NOTHING,3
84,1,0,4,NOTHING,4
85,1,0,5,NOTHING,5
86,1,0,6,KEEP_MERGE,6
87,1,0,7,SQUASH,6
88,1,1,0,SQUASH,1
89,1,1,1,KEEP_MERGE,1
90,1,1,2,NOTHING,2
91,1,1,3,CLONE,"(3, 0)"
92,1,1,4,NOTHING,4
93,1,1,5,NOTHING,5
94,1,1,6,NOTHING,6
95,1,1,7,NOTHING,7
96,1,2,0,SQUASH,2
97,1,2,1,NOTHING,1
98,1,2,2,KEEP_MERGE,2
99,1,2,3,NOTHING,3
100,1,2,4,CLONE,"(4, 0)"
101,1,2,5,NOTHING,5
102,1,2,6,NOTHING,6
103,1,2,7,NOTHING,7
104,1,3,0,NOTHING,0
105,1,3,1,NOTHING,1
106,1,3,2,NOTHING,2
107,1,3,3,NOTHING,3
108,1,3,4,SQUASH,6
109,1,3,5,CLONE,"(5, 4)"
110,1,3,6,KEEP_MERGE,6
111,1,3,7,NOTHING,7
